nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Italy,Ground_vehicles,2025-03-31,1.3 ~ 2.3,1.3,109.0,9.66697247706422,0.14678899082568808,0.0,0.5688073394495413,0.028432319485746673,0.05083690361651406
Italy,Ground_vehicles,2025-03-31,1.7 ~ 2.7,1.7,150.0,10.08377777777778,0.4000000000000001,0.0,0.4133333333333333,0.04079002063302006,0.08067420422995977
Italy,Ground_vehicles,2025-03-31,2.0 ~ 3.0,2.0,167.0,9.82874251497006,0.47305389221556887,0.0,0.3712574850299401,0.060979655166847085,0.16317142109423077
Italy,Ground_vehicles,2025-03-31,2.3 ~ 3.3,2.3,163.0,9.976687116564417,0.4969325153374233,0.0,0.3803680981595091,0.08280461960520054,0.23808898007221643
Italy,Ground_vehicles,2025-03-31,2.7 ~ 3.7,2.7,2421.0,374.6733581164808,0.659469434118133,0.220817843866171,0.1762081784386617,0.1665951414465828,0.5381756729969017
Italy,Ground_vehicles,2025-03-31,3.0 ~ 4.0,3.0,3072.0,327.01953125,0.6349313802083333,0.1740234375,0.1388671875,0.16709921712886794,0.5353126795921479
Italy,Ground_vehicles,2025-03-31,3.3 ~ 4.3,3.3,3052.0,329.11882918304934,0.6328667103538663,0.1751638269986894,0.1397771952817824,0.16686451253738074,0.5339516919694075
Italy,Ground_vehicles,2025-03-31,3.7 ~ 4.7,3.7,3106.0,324.2461901695644,0.6186443013522215,0.1721184803605924,0.1373470701867353,0.16570941127379116,0.5313891319394686
Italy,Ground_vehicles,2025-03-31,4.0 ~ 5.0,4.0,966.0,123.36438923395444,0.5302758799171842,0.0,0.0,0.1815681438686846,0.479660619119739
Italy,Ground_vehicles,2025-03-31,4.3 ~ 5.3,4.3,266.0,79.58646616541353,0.4297473684210526,0.0,0.0,0.23455493719577264,0.43112539786369797
Italy,Ground_vehicles,2025-03-31,4.7 ~ 5.7,4.7,307.0,74.43322475570032,0.42628208469055373,0.0,0.0,0.22016185077795997,0.43944981724428267
Italy,Ground_vehicles,2025-03-31,5.0 ~ 6.0,5.0,1766.0,233.17921857304643,0.6762900339750848,0.0937146092865232,0.0719365798414496,0.21250519640329815,0.5913054735385158
Italy,Ground_vehicles,2025-03-31,5.3 ~ 6.3,5.3,1574.0,249.91264294790344,0.6861597204574332,0.1051461245235069,0.0807115628970775,0.20430411740300394,0.6097147368521609
Italy,Ground_vehicles,2025-03-31,5.7 ~ 6.7,5.7,1931.0,220.20960642154327,0.6818501812532367,0.0857068876229932,0.0657897462454686,0.1933576751888321,0.5597449509027078
Italy,Ground_vehicles,2025-03-31,6.0 ~ 7.0,6.0,2019.0,213.90007429420504,0.6870691431401683,0.0819712729073798,0.0629222387320455,0.1849794139523213,0.5294303187401561
Italy,Ground_vehicles,2025-03-31,6.3 ~ 7.3,6.3,578.0,84.16392733564014,0.6361429065743944,0.0,0.0,0.10082925926000234,0.22273294082634512
Italy,Ground_vehicles,2025-03-31,6.7 ~ 7.7,6.7,893.0,91.51371780515116,0.5967451287793953,0.0,0.0,0.14637708553191586,0.3257369784085213
Italy,Ground_vehicles,2025-03-31,7.0 ~ 8.0,7.0,1375.0,138.64996363636365,0.581226909090909,0.0542399999999999,0.0665672727272727,0.14202458677321889,0.32058820886918316
Italy,Ground_vehicles,2025-03-31,7.3 ~ 8.3,7.3,1367.0,138.72984637893197,0.5376471104608632,0.0571031455742501,0.0688661302121433,0.13953569898531873,0.3124006487734334
Italy,Ground_vehicles,2025-03-31,7.7 ~ 8.7,7.7,1275.0,142.10172549019612,0.5419654901960784,0.0612235294117647,0.073835294117647,0.14867672120220876,0.3355079238188083
Italy,Ground_vehicles,2025-03-31,8.0 ~ 9.0,8.0,1512.0,299.47665343915344,0.5513216931216931,0.0516269841269841,0.0622619047619047,0.12335656600842307,0.32842016089848863
Italy,Ground_vehicles,2025-03-31,8.3 ~ 9.3,8.3,4247.0,574.7438584098579,0.5795247704261832,0.0031645867671297,0.002959736284436,0.13745492276103105,0.3872497787250292
Italy,Ground_vehicles,2025-03-31,8.7 ~ 9.7,8.7,4754.0,539.5620530079933,0.5817766512410601,0.0258729490954985,0.031817416912074,0.13315448623103807,0.3769975428411115
Italy,Ground_vehicles,2025-03-31,9.0 ~ 10.0,9.0,4890.0,526.4470347648261,0.5806206339468303,0.0251533742331288,0.0309325153374233,0.13019569826264318,0.36849391210345395
Italy,Ground_vehicles,2025-03-31,9.3 ~ 10.3,9.3,4494.0,507.74143302180687,0.5884147085002226,0.048526924788607,0.0674098798397863,0.12614949031480718,0.3462373401250091
Italy,Ground_vehicles,2025-03-31,9.7 ~ 10.7,9.7,2694.0,446.1405592675081,0.5911087230883446,0.1111766889383815,0.1400668151447661,0.07001009379829437,0.19982574463235045
Italy,Ground_vehicles,2025-03-31,10.0 ~ 11.0,10.0,2470.0,499.4564102564103,0.6177785020242915,0.0983927125506072,0.1102834008097166,0.06554683994970635,0.16851730090184192
Italy,Ground_vehicles,2025-03-31,10.3 ~ 11.3,10.3,2704.0,503.4428007889546,0.6405111686390533,0.1760835798816568,0.2252588757396449,0.06435049998299248,0.17163972688284357
Italy,Ground_vehicles,2025-03-31,10.7 ~ 11.7,10.7,4176.0,450.00434227330777,0.6566835727969348,0.0912476053639846,0.1095354406130268,0.08687017168133264,0.23926794660388306
Italy,Ground_vehicles,2025-03-31,11.0 ~ 12.0,11.0,4078.0,547.9845022069642,0.731459318293281,0.0710299166257969,0.0914811181951937,0.13250990602765553,0.374866811376103
Italy,Ground_vehicles,2025-03-31,11.3 ~ 12.3,11.3,3674.0,563.8173108328797,0.7408895753946652,0.0634458356015242,0.0916439847577572,0.14073957257668437,0.4106358791776408
Italy,Ground_vehicles,2025-03-31,11.7 ~ 12.7,11.7,3304.0,585.522033898305,0.7392646186440678,0.0,0.0,0.15173534969931327,0.4391983112335792
Italy,Ground_vehicles,2025-03-31,12.0 ~ 13.0,12.0,1676.0,838.0,0.787151491646778,0.0,0.0,0.18670699979071625,0.5555158461351564
Italy,Ground_vehicles,2025-03-28,1.3 ~ 2.3,1.3,109.0,8.185321100917431,0.1415394495412844,0.0,0.4587155963302752,0.025252068815695642,0.05857622190806728
Italy,Ground_vehicles,2025-03-28,1.7 ~ 2.7,1.7,133.0,8.343358395989974,0.3791563909774435,0.0,0.3759398496240601,0.04117399346009597,0.08635876900818046
