nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
Italy,Ground_vehicles,2025-03-31,1.3 ~ 2.3,1.3,109.0,9.66697247706422,0.146788990825688,0.0,0.5688073394495413,0.0284323194857466,0.050836903616514,0.21719547022501848,-0.31734639549250565
Italy,Ground_vehicles,2025-03-31,1.7 ~ 2.7,1.7,150.0,10.08377777777778,0.4000000000000001,0.0,0.4133333333333333,0.04079002063302,0.0806742042299597,0.390598069472587,-0.045969336249832016
Italy,Ground_vehicles,2025-03-31,2.0 ~ 3.0,2.0,167.0,9.82874251497006,0.4730538922155688,0.0,0.3712574850299401,0.060979655166847,0.1631714210942307,0.47166639587131187,0.06800242578106774
Italy,Ground_vehicles,2025-03-31,2.3 ~ 3.3,2.3,163.0,9.976687116564417,0.4969325153374233,0.0,0.3803680981595091,0.0828046196052005,0.2380889800722164,0.5190957191175888,0.13136402235853487
Italy,Ground_vehicles,2025-03-31,2.7 ~ 3.7,2.7,2421.0,374.6733581164808,0.659469434118133,0.220817843866171,0.1762081784386617,0.1665951414465828,0.5381756729969017,0.6600290287444743,0.4496342974295254
Italy,Ground_vehicles,2025-03-31,3.0 ~ 4.0,3.0,3072.0,327.01953125,0.6349313802083333,0.1740234375,0.1388671875,0.1670992171288679,0.5353126795921479,0.6494921611544845,0.4244785811203446
Italy,Ground_vehicles,2025-03-31,3.3 ~ 4.3,3.3,3052.0,329.11882918304934,0.6328667103538663,0.1751638269986894,0.1397771952817824,0.1668645125373807,0.5339516919694075,0.6485532978110102,0.4218043891295746
Italy,Ground_vehicles,2025-03-31,3.7 ~ 4.7,3.7,3106.0,324.2461901695644,0.6186443013522215,0.1721184803605924,0.1373470701867353,0.1657094112737911,0.5313891319394686,0.6345987862588196,0.4059593501964094
Italy,Ground_vehicles,2025-03-31,4.0 ~ 5.0,4.0,966.0,123.36438923395444,0.5302758799171842,0.0,0.0,0.1815681438686846,0.479660619119739,0.555496788928894,0.3109272499006012
Italy,Ground_vehicles,2025-03-31,4.3 ~ 5.3,4.3,266.0,79.58646616541353,0.4297473684210526,0.0,0.0,0.2345549371957726,0.4311253978636979,0.39012455945415925,0.22952571408204858
Italy,Ground_vehicles,2025-03-31,4.7 ~ 5.7,4.7,307.0,74.43322475570032,0.4262820846905537,0.0,0.0,0.2201618507779599,0.4394498172442826,0.41311267844018906,0.21924666645102114
Italy,Ground_vehicles,2025-03-31,5.0 ~ 6.0,5.0,1766.0,233.17921857304643,0.6762900339750848,0.0937146092865232,0.0719365798414496,0.2125051964032981,0.5913054735385158,0.6719519497703892,0.5147232174680072
Italy,Ground_vehicles,2025-03-31,5.3 ~ 6.3,5.3,1574.0,249.91264294790344,0.6861597204574332,0.1051461245235069,0.0807115628970775,0.2043041174030039,0.6097147368521609,0.693289698768701,0.5252612700196034
Italy,Ground_vehicles,2025-03-31,5.7 ~ 6.7,5.7,1931.0,220.20960642154327,0.6818501812532367,0.0857068876229932,0.0657897462454686,0.1933576751888321,0.5597449509027078,0.68620215220292,0.4970214615796006
Italy,Ground_vehicles,2025-03-31,6.0 ~ 7.0,6.0,2019.0,213.90007429420504,0.6870691431401683,0.0819712729073798,0.0629222387320455,0.1849794139523213,0.5294303187401561,0.6968830057149976,0.4865657289728863
Italy,Ground_vehicles,2025-03-31,6.3 ~ 7.3,6.3,578.0,84.16392733564014,0.6361429065743944,0.0,0.0,0.1008292592600023,0.2227329408263451,0.6325546015362669,0.2774652625367289
Italy,Ground_vehicles,2025-03-31,6.7 ~ 7.7,6.7,893.0,91.51371780515116,0.5967451287793953,0.0,0.0,0.1463770855319158,0.3257369784085213,0.5920860900874915,0.30270268155368885
Italy,Ground_vehicles,2025-03-31,7.0 ~ 8.0,7.0,1375.0,138.64996363636365,0.581226909090909,0.0542399999999999,0.0665672727272727,0.1420245867732188,0.3205882088691831,0.5819044310798064,0.2825711574353107
Italy,Ground_vehicles,2025-03-31,7.3 ~ 8.3,7.3,1367.0,138.72984637893197,0.5376471104608632,0.0571031455742501,0.0688661302121433,0.1395356989853187,0.3124006487734334,0.5337560303902225,0.2346073020266388
Italy,Ground_vehicles,2025-03-31,7.7 ~ 8.7,7.7,1275.0,142.10172549019612,0.5419654901960784,0.0612235294117647,0.073835294117647,0.1486767212022087,0.3355079238188083,0.5461476063389279,0.25270832514841257
Italy,Ground_vehicles,2025-03-31,8.0 ~ 9.0,8.0,1512.0,299.47665343915344,0.5513216931216931,0.0516269841269841,0.0622619047619047,0.123356566008423,0.3284201608984886,0.5629030481396493,0.24284107966249951
Italy,Ground_vehicles,2025-03-31,8.3 ~ 9.3,8.3,4247.0,574.7438584098579,0.5795247704261832,0.0031645867671297,0.002959736284436,0.137454922761031,0.3872497787250292,0.5787648628291475,0.3000239253004646
Italy,Ground_vehicles,2025-03-31,8.7 ~ 9.7,8.7,4754.0,539.5620530079933,0.5817766512410601,0.0258729490954985,0.031817416912074,0.133154486231038,0.3769975428411115,0.578684263621375,0.2959977208370216
Italy,Ground_vehicles,2025-03-31,9.0 ~ 10.0,9.0,4890.0,526.4470347648261,0.5806206339468303,0.0251533742331288,0.0309325153374233,0.1301956982626431,0.3684939121034539,0.5745598382425444,0.29003944172020074
Italy,Ground_vehicles,2025-03-31,9.3 ~ 10.3,9.3,4494.0,507.74143302180687,0.5884147085002226,0.048526924788607,0.0674098798397863,0.1261494903148071,0.3462373401250091,0.5810954522979194,0.2877273033115122
Italy,Ground_vehicles,2025-03-31,9.7 ~ 10.7,9.7,2694.0,446.1405592675081,0.5911087230883446,0.1111766889383815,0.1400668151447661,0.0700100937982943,0.1998257446323504,0.5886186931832034,0.2042774185205813
Italy,Ground_vehicles,2025-03-31,10.0 ~ 11.0,10.0,2470.0,499.4564102564103,0.6177785020242915,0.0983927125506072,0.1102834008097166,0.0655468399497063,0.1685173009018419,0.6182804295664592,0.21754895863110926
Italy,Ground_vehicles,2025-03-31,10.3 ~ 11.3,10.3,2704.0,503.4428007889546,0.6405111686390533,0.1760835798816568,0.2252588757396449,0.0643504999829924,0.1716397268828435,0.648368117853852,0.24052463067971316
