nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
USA,Ground_vehicles,2025-02-05,4.7 ~ 5.7,4.7,10717.0,939.3518521974432,0.5391279835774937,0.0825510870579453,0.1164887561817673,0.1531617779994241,0.3807080750788316,0.495231668474657,0.2679095167263611
Israel,Ground_vehicles,2025-01-12,6.3 ~ 7.3,6.3,1086.0,227.6146408839779,0.4952067219152855,0.0453683241252302,0.0336556169429097,0.1125059807173731,0.2111210225801797,0.4630769722014048,0.1404390055922558
Britain,Ground_vehicles,2025-03-07,9.7 ~ 10.7,9.7,10129.0,1241.129089742324,0.5816005923585744,0.0846648237733241,0.1065820910257676,0.1352588597175966,0.3211060360330647,0.5756336413435972,0.2786113029295043
Sweden,Ground_vehicles,2025-02-05,12.0 ~ 13.0,12.0,11736.0,2347.2,0.645660071574642,0.2496165644171779,0.2945211315610088,0.1233089916148811,0.4126159183724269,0.6717686777828475,0.365184960808171
France,Ground_vehicles,2025-03-10,4.7 ~ 5.7,4.7,2650.0,340.7630817610063,0.6185803773584906,0.2800943396226415,0.2050415094339622,0.1398990025803663,0.2663105569943167,0.6595452935704886,0.300434528556122
France,Ground_vehicles,2025-01-18,2.0 ~ 3.0,2.0,445.0,86.82209737827715,0.6575649438202248,0.295752808988764,0.4472359550561798,0.1004825464822295,0.2599883951094528,0.3219994605330681,0.3110624553488374
Italy,Ground_vehicles,2025-01-12,4.0 ~ 5.0,4.0,1131.0,141.42997347480107,0.6222911582670204,0.0,0.0,0.1791120235176674,0.3785081705230205,0.555496788928894,0.3676229867139527
Germany,Ground_vehicles,2025-03-13,7.3 ~ 8.3,7.3,17221.0,1187.7895515165592,0.3997343882469079,0.101467394460252,0.0836525172754195,0.1098768376762265,0.282236359594139,0.4030001523729265,0.066897069884123
China,Ground_vehicles,2025-01-03,11.3 ~ 12.3,11.3,2251.0,749.0023693173404,0.6400227454464682,0.0,0.0,0.1744813365592099,0.4755617255763931,0.617853390007437,0.4145893702118409
France,Ground_vehicles,2025-03-01,11.0 ~ 12.0,11.0,19942.0,2848.8571428571427,0.7373652141209509,0.1458469561729014,0.168360244709658,0.1077983734226479,0.3456307213572406,0.7726099141028043,0.4242539610323955
Sweden,Ground_vehicles,2025-03-04,8.3 ~ 9.3,8.3,10101.0,907.0672352100922,0.5112098208098208,0.0562795762795762,0.0533174933174933,0.0943468808177785,0.2931236187707127,0.5379104687719822,0.1716550084851086
Germany,Ground_vehicles,2025-02-05,1.7 ~ 2.7,1.7,1974.0,150.30930670140398,0.6661288753799393,0.0786828774062816,0.0756433637284701,0.1845046240302846,0.5279133870966836,0.7654378483889128,0.4648041128873044
France,Ground_vehicles,2025-01-24,10.3 ~ 11.3,10.3,1090.0,1090.0,0.5931000000000001,0.0,0.0,0.0895258265164934,0.3057481673451075,0.574875,0.2545383401859055
Japan,Ground_vehicles,2025-02-14,2.7 ~ 3.7,2.7,688.0,192.9556686046512,0.5770813953488372,0.1105232558139535,0.1338953488372093,0.1642114606389584,0.4919644708601377,0.5807463406774176,0.3502703969308093
Italy,Ground_vehicles,2025-01-15,1.0 ~ 2.0,1.0,316.0,24.698417721518982,0.6475803797468355,0.0,0.0,0.1858435192103676,0.468822858878178,0.2827188940092165,0.4274701755473735
Sweden,Ground_vehicles,2025-03-10,8.0 ~ 9.0,8.0,9034.0,700.9009061007622,0.473490181536418,0.0579842816028337,0.0549324773079477,0.1119793176258956,0.3288242641262205,0.4820257844301186,0.1575668870292959
USSR,Ground_vehicles,2025-01-09,4.7 ~ 5.7,4.7,11478.0,718.6769515595051,0.5389735929604461,0.0,0.0,0.1697569566222201,0.4579046452534937,0.5616110510620844,0.3045139729402581
Britain,Ground_vehicles,2025-03-01,5.7 ~ 6.7,5.7,2113.0,228.67735447231425,0.4788100804543304,0.0,0.0017794604827259,0.1495508922985661,0.3657746604360134,0.5300383757983747,0.2002139366503679
Italy,Ground_vehicles,2025-03-13,8.0 ~ 9.0,8.0,1790.0,289.029217877095,0.5705877653631285,0.0677486033519553,0.0725530726256983,0.1202444056674093,0.3112714835448354,0.5629030481396493,0.2543239435580533
Germany,Ground_vehicles,2025-01-18,7.3 ~ 8.3,7.3,24734.0,1684.146275033018,0.3859609848791138,0.1089180884612274,0.0989904584782081,0.0949676463605678,0.2239159476549801,0.4030001523729265,0.0237734479243603
Italy,Ground_vehicles,2025-01-06,11.3 ~ 12.3,11.3,7351.0,1277.076894300095,0.6141785607400354,0.0661406611345395,0.0641055638688613,0.1150511471932831,0.3797871730905825,0.7451328454393659,0.3172717534099259
Britain,Ground_vehicles,2025-03-25,2.3 ~ 3.3,2.3,765.0,43.53420479302832,0.3938448366013072,0.0,0.0,0.1487395388100725,0.4453671854655253,0.3695696870711109,0.1412126422088354
Britain,Ground_vehicles,2025-03-10,8.7 ~ 9.7,8.7,11191.0,1215.29429899026,0.5901594853006881,0.0,0.0,0.1507198489204433,0.3980037161961218,0.5994647465556711,0.3230741421750118
USSR,Ground_vehicles,2025-01-06,8.7 ~ 9.7,8.7,37853.0,2007.3005077285188,0.5781623675798483,0.0239856814519324,0.0286415871925606,0.1204383939884059,0.3502268425987376,0.5486660995784842,0.2749998765615062
Sweden,Ground_vehicles,2025-02-02,4.0 ~ 5.0,4.0,2197.0,287.3009786071916,0.4430382339553938,0.0138188438780154,0.0113063268092853,0.1663895595074563,0.4231077924986247,0.372820468927393,0.1947485754894017
China,Ground_vehicles,2025-03-01,3.0 ~ 4.0,3.0,501.0,95.35928143712574,0.6444692614770459,0.0,0.0,0.2041901074242189,0.5566481541547951,0.6132667278737566,0.4658237083551224
France,Ground_vehicles,2025-03-31,4.7 ~ 5.7,4.7,3486.0,459.4452572193536,0.6739834480780263,0.2160413080895008,0.1255708548479632,0.1967610191171431,0.2986423313405639,0.6595452935704886,0.4044741831464514
Italy,Ground_vehicles,2025-03-22,8.3 ~ 9.3,8.3,4313.0,589.3769997681428,0.5764940180848597,0.0091537213076744,0.0077625782517968,0.1444288726959922,0.3973228304131898,0.5787648628291475,0.3049921498279827
Japan,Ground_vehicles,2025-01-03,6.7 ~ 7.7,6.7,4038.0,532.3742776952286,0.6206035661218424,0.0542793462109955,0.0593462109955423,0.1759745124345038,0.4401910893460159,0.5918061483930599,0.3843862241554452
China,Ground_vehicles,2025-03-04,12.0 ~ 13.0,12.0,3032.0,1010.6666666666666,0.6307018799472296,0.0,0.0,0.1257821977012477,0.3854537828504363,0.6148378139016186,0.3428289333054559
